etiquette_brute,occurrences,groupe_propose,exemples_ids
declenchement_magie_primordiale,1,hors_groupe:declenchement_magie_primordiale,cicatrice-magique
defense_passive,1,protection_defensive,sang-adhesif
defiguration_physique,1,hors_groupe:defiguration_physique,contact-defigurant
degat_contact,1,degats_directs|attaque_de_contact,enchevetrement-repugnant
degats_augmentes_par_niveau,1,degats_directs|terrain_ou_environnement,rafale-du-belier
degats_contondants,1,degats_directs,vents-de-la-vengeance
degats_creatures_chaotiques,1,degats_directs,fleche-de-loi
degats_eau_benite,1,degats_directs,glace-maudite
degats_elementaires_variables,1,degats_directs,detonation
degats_epines_optionnel,1,degats_directs,enchevetrement
degats_feu_continu,1,degats_directs,boule-de-goudron
degats_feu_immediat,1,degats_directs,boule-de-goudron
degats_inversion,1,degats_directs,heroisme-insipide-supreme
degats_massifs,1,degats_directs,destruction
degats_mort_vivant,1,degats_directs,destruction-de-mort-vivant
degats_non_letaux,1,degats_directs,coupe-de-poussiere
degats_par_niveau_lanceur,1,degats_directs,coup-mental-iii
degats_physiques,1,degats_directs,marteau-arboricole
degats_reduits_neutres,1,degats_directs,fleche-de-loi
degats_supplementaires_contre_bons,1,degats_directs,epee-impie
degats_supplementaires_premiere_attaque,1,degats_directs,contrariete-des-geants
degats_sur_duree,1,degats_directs,empoisonnement
degats_traversee,1,degats_directs,pierres-acerees
degradation_stat,1,affaiblissement_de_capacite,fouet-d-ego-v
demi_degats_au_lanceur,1,degats_directs,detonation
depassement_sorts_mort,1,hors_groupe:depassement_mort,resurrection-supreme
dependance_cadavre_precedent,1,hors_groupe:cadavre_dependance_precedent,eruption-de-fleches
dependance_lanceur,1,hors_groupe:dependance_lanceur,rendre-un-jugement-superieur
deplacement_autonome_yeux,1,deplacement_ou_teleportation,oeil-indiscret-supreme
deplacement_creatures_ou_objets,1,deplacement_ou_teleportation|objet_ou_equipement,grappin-opportun
deplacement_de_lumiere,1,deplacement_ou_teleportation,lumieres-dansantes
deplacement_instantane,1,deplacement_ou_teleportation|duree_instantanee,teleportation-interplanetaire
deplacement_omnidirectionnel,1,deplacement_ou_teleportation,forme-etheree
deplacement_rapide,1,deplacement_ou_teleportation,traversee-des-ombres
deplacement_sans_connaissance_prealable,1,divination_information|deplacement_ou_teleportation,teleportation-supreme
deplacement_tactique,1,deplacement_ou_teleportation,avancee-offensive
desactivation_objets_magiques,1,objet_ou_equipement,disjonction
desactivation_selective,1,hors_groupe:desactivation_selective,placage-trompeur
desactivation_temporaire,1,hors_groupe:alteration_temporaire,cercle-de-teleportation
desavantage_jet_confusion,1,confusion_ou_desorientation,insinuation-du-ca-iv
description_detaillee,1,hors_groupe:description_detaillee,pierres-commeres
description_fiable_requise,1,hors_groupe:description_detaillee,teleportation-supreme
desorientation_strategique,1,confusion_ou_desorientation,allie-involontaire
desorientation_zone,1,zone_d_effet|confusion_ou_desorientation,localite-egaree
destination_fixe,1,hors_groupe:destination_fixe,cercle-de-teleportation
destination_planete_requise,1,hors_groupe:destination_fixe,teleportation-interplanetaire
destruction_créatures_lumière_sensibles,1,hors_groupe:creature_destruction_lumiere_sensible,explosion-de-lumiere
destruction_instantanee,1,duree_instantanee,destruction
destruction_magie,1,hors_groupe:destruction,disjonction
destruction_morts_vivants_vulnérables,1,hors_groupe:destruction_mort_vivant_vulnerable,rayon-de-soleil
destruction_par_dissipation_magie,1,dissipation_ou_contresort,porte-de-phase
destruction_possible,1,hors_groupe:destruction,caresse-vaseuse
destruction_progressive_couleurs,1,hors_groupe:couleur_destruction_progressive,mur-prismatique
detection_aura_chaotique,1,detection_ou_revelation,detection-du-chaos
detection_auras_magiques,1,detection_ou_revelation,detection-de-la-magie-supreme
detection_aveugle_inefficace,1,detection_ou_revelation,demarche-decalibree
detection_des_tentatives_de_scrutation,1,detection_ou_revelation,detection-de-la-scrutation
detection_destruction_navire,1,detection_ou_revelation,pistage-d-un-navire
detection_direction,1,detection_ou_revelation,reperage
detection_effets_magiques,1,detection_ou_revelation,vision-magique-supreme
detection_sorts_actifs,1,detection_ou_revelation,vision-magique-supreme
difficilement_detectable,1,detection_ou_revelation,cercle-de-teleportation
difficulte_variable_selon_proximite,1,hors_groupe:difficulte_proximite_selon_variable,vision-mystique
diminution_dexterite,1,affaiblissement_de_capacite,rayon-polaire
disparition_au_contact,1,attaque_de_contact,hallucination-audiovisuelle
disparition_fin_sort,1,hors_groupe:disparition_fin,convocation-d-instrument
dissimulation_contenu,1,invisibilite_ou_dissimulation,page-secrete
dissimulation_detection_magie,1,invisibilite_ou_dissimulation|detection_ou_revelation,dissimuler-la-magie
dissimulation_facilitee,1,invisibilite_ou_dissimulation,broussaille-distrayante
dissipable_par_magie,1,dissipation_ou_contresort,animation-suspendue
dissipation_ciblée,1,dissipation_ou_contresort,dissipation-supreme
dissipation_de_zone,1,zone_d_effet|dissipation_ou_contresort,dissipation-supreme
dissipation_difficile,1,dissipation_ou_contresort,microcosme
dissipation_effet_magique,1,dissipation_ou_contresort,restauration-partielle
dissipation_enchantement,1,dissipation_ou_contresort,hurlement-primitif
dissipation_limitee,1,dissipation_ou_contresort,permanence
dissipation_obscurité,1,dissipation_ou_contresort,explosion-de-lumiere
dissolution_alcool_solvant,1,hors_groupe:alcool_dissolution_solvant,sang-adhesif
divination_alignement,1,divination_information|alignement_ou_divin,detection-du-chaos
divination_avancee,1,divination_information|alignement_ou_divin,pronostic-supreme
divination_environnement,1,divination_information|terrain_ou_environnement|alignement_ou_divin,sages-murmures
divination_maritime,1,divination_information|alignement_ou_divin,pistage-d-un-navire
divination_mineure,1,divination_information|alignement_ou_divin,assistance-divine
divination_par_objets,1,divination_information|objet_ou_equipement|alignement_ou_divin,pierres-commeres
divination_personnelle,1,divination_information|alignement_ou_divin,vision-magique-supreme
divination_scrutation,1,divination_information|alignement_ou_divin,contempler-de-loin
dommages_exterieur_mauvais,1,degats_directs,malediction-de-l-eau
don_metamagie_gratuit,1,hors_groupe:don_gratuit_metamagie,thaumaturgie-associative
droit_sauvegarde_garanti,1,jet_de_sauvegarde,protection-contre-la-mort
duree_dependante_niveau,1,terrain_ou_environnement,symbole-de-terreur
duree_indefinie,1,hors_groupe:duree_indefinie,permanence
duree_limitee_rounds,1,hors_groupe:duree_limitee,rayon-affaiblissant
duree_partageable,1,hors_groupe:duree_variable,protection-contre-le-bien-partage
duree_prolongeable,1,duree_prolongee,localite-egaree
duree_variable_selon_pv,1,hors_groupe:duree_variable,mot-de-pouvoir-etourdissant
durée_basée_niveau,1,terrain_ou_environnement,convocation-d-allies-naturels-iv
durée_courte_3_rounds,1,hors_groupe:3_courte_duree_round,tour-de-volonte-de-fer-iii
durée_courte_combat,1,hors_groupe:combat_courte_duree,tour-de-volonte-de-fer-v
durée_partagée_cibles,1,hors_groupe:cible_duree_partagee,ascension
dysfonctionnement_communication,1,communication_ou_langage,bafouiller
dégâts_accrus_morts_vivants,1,degats_directs,rayon-de-soleil
dégâts_acide,1,degats_directs,contact-corrosif
dégâts_augmentés_morts_vivants,1,degats_directs,explosion-de-lumiere
dégâts_contre_attaquant,1,degats_directs,sang-caustique
dégâts_créatures_lumière_sensibles,1,degats_directs,rayon-de-soleil
dégâts_créatures_normales,1,degats_directs,rayon-de-soleil
dégâts_feu,1,degats_directs,eternuement-de-feu
dégâts_force_zone,1,degats_directs|zone_d_effet,manteau-de-colere
dégâts_minimes_sans_équipement,1,degats_directs|objet_ou_equipement,metal-gele
dégâts_par_niveau,1,degats_directs|terrain_ou_environnement,froide-frappe-de-glace
dégâts_perforants,1,degats_directs,croissance-d-epines
dégâts_perforants_tranchants,1,degats_directs,sang-caustique
dégâts_progressifs,1,degats_directs,metal-gele
dégâts_saignement,1,degats_directs,plaie-au-visage
dégâts_saignement_automatiques,1,degats_directs,infestation-fongique
dégâts_son,1,degats_directs,cacophonie
dégâts_structures,1,degats_directs,resonance
dégâts_supplémentaires_feu,1,degats_directs,flammes-du-fidele
dégâts_tranchants,1,degats_directs,fouet-de-l-astradaemon
dégâts_vicieux,1,degats_directs,chaine-cloutee-des-ombres
dégâts_électricité,1,degats_directs,violent-nuage-d-orage-supreme
dégâts_électricité_au_contact,1,degats_directs|attaque_de_contact,image-de-foudre
dégâts_énergie_négative,1,degats_directs,blessure-critique-de-groupe
désactivation_créatures_invoquées,1,hors_groupe:creature_desactivation_invoquee,dissipation-supreme
détection_difficile,1,detection_ou_revelation,croissance-d-epines
echec_si_destination_dangereuse,1,hors_groupe:dangereuse_destination_echec_si,teleportation-interplanetaire
echec_sorts_verbaux,1,hors_groupe:echec_verbaux,bafouiller
eclairage_portable,1,hors_groupe:eclairage_portable,lumieres-dansantes
eclipse_lunaire,1,hors_groupe:eclipse_lunaire,voile-lunaire
ecole_evocation,1,hors_groupe:ecole_evocation,rayon-de-givre
effacement_permanent_possible,1,duree_prolongee,page-secrete
effet_cosmétique_son,1,hors_groupe:cosmetique_son,alteration-d-instrument-de-musique
effet_court_terme,1,hors_groupe:courte_portee,incantation-assuree
effet_exil_nature,1,hors_groupe:exil_nature,tache-noire
effet_instantane_etourdi,1,confusion_ou_desorientation|duree_instantanee,mot-de-pouvoir-etourdissant
effet_limite_par_niveau,1,terrain_ou_environnement,modification-des-vents
effet_magique_persistant,1,hors_groupe:magique_persistant,permanence
effet_mental_charme,1,effet_mental|charme_ou_coercition|arme_ou_munition,sacrifice
effet_mental_coercitif,1,effet_mental|charme_ou_coercition,localite-egaree
effet_mental_massif,1,effet_mental,microcosme
effet_mental_perturbant,1,effet_mental,aspect-de-fee-hantee
effet_mental_sonore,1,effet_mental,hurlement-primitif
effet_permanent,1,duree_prolongee,animation-suspendue
effet_persistant,1,hors_groupe:persistant,enchevetrement-repugnant
effet_persistant_apres_sortie,1,hors_groupe:apre_persistant_sortie,brume-mentale
effet_persistant_sortie,1,hors_groupe:apre_persistant_sortie,interdiction-du-fou
effet_personnalise,1,hors_groupe:personnalise,miracle
effet_progressif_par_dv,1,hors_groupe:dv_progressif,motif-scintillant
effet_reduit_fer_froid,1,hors_groupe:fer_froid_reduit,coeur-du-metal
effet_renforcé_créatures_sensibles_lumière,1,amelioration_de_capacite,explosion-de-lumiere
effet_similaire_puissance_relative,1,hors_groupe:puissance_relative_similaire,souhait-limite
effet_sonore,1,hors_groupe:sonore,violent-nuage-d-orage-supreme
effet_spécial_organismes_primitifs,1,hors_groupe:organisme_primitif_special,explosion-de-lumiere
effet_terminable_volontairement,1,hors_groupe:terminable_volontairement,manteau-de-colere
effet_transmutation,1,transformation_du_sujet,contact-defigurant
effet_ultraviolet_organismes_primitifs,1,hors_groupe:organisme_primitif_ultraviolet,rayon-de-soleil
effet_un_round,1,hors_groupe:round,appel-d-arme
effets_cosmétiques_temporaires,1,hors_groupe:cosmetique_temporaire,prestidigitation
effets_varies_par_couleur,1,hors_groupe:couleur_varie,mur-prismatique
effort_physique_important,1,hors_groupe:effort_important_physique,vision-mystique
ejection_de_creatures,1,hors_groupe:creature_ejection,mur-de-saumure
elimination_directe,1,hors_groupe:directe_elimination,mot-de-pouvoir-mortel
elimination_fatigue,1,hors_groupe:elimination_fatigue,restauration-partielle
elimination_par_des_de_vie,1,hors_groupe:elimination_fatigue,annihilation-de-mort-vivant
embrasement_combustibles,1,hors_groupe:combustible_embrasement,boule-de-feu
emission_lumiere,1,hors_groupe:emission_intense_lumiere,manteau-de-colere
emission_lumiere_intense,1,hors_groupe:emission_intense_lumiere,pilier-de-vie
emotion_peur,1,hors_groupe:emotion_peur,symbole-de-terreur
empeche_contact_creatures_loyales,1,attaque_de_contact,protection-contre-la-loi
empeche_mensonges,1,hors_groupe:apparence_mensonge,zone-de-verite
emprisonnement_magique,1,hors_groupe:emprisonnement_magique,cage-de-force
emprisonnement_mental,1,effet_mental,microcosme
enchantement_arme_tranchante,1,arme_ou_munition,plaie-au-visage
enchantement_charme,1,charme_ou_coercition|arme_ou_munition,symbole-de-fou-rire
enchantement_coercitif,1,charme_ou_coercition,zone-de-verite
enchantement_mental_court_terme,1,effet_mental,allie-involontaire
enchantement_mortel,1,hors_groupe:enchantement_mortel,mot-de-pouvoir-mortel
enchantement_projectiles,1,rayon_ou_projectile,pierre-magique
encrassement_corporel,1,hors_groupe:corporel_encrassement,embourbement
energie_positive,1,hors_groupe:energie_negative,purification
entrave_degainement,1,entrave_ou_immobilisation,paix-forcee
entrave_mobilite,1,entrave_ou_immobilisation,boule-de-goudron
entrave_mouvement,1,entrave_ou_immobilisation|deplacement_ou_teleportation,enchevetrement
epidemie_quotidienne,1,hors_groupe:epidemie_quotidienne,terre-maudite
epuisement_sur_echec,1,hors_groupe:echec_epuisement,coup-mental-v
escalade_et_suspension,1,hors_groupe:escalade_suspension,grappin-opportun
essence_astradaemon,1,hors_groupe:astradaemon_essence,fouet-de-l-astradaemon
etat_chancelant,1,hors_groupe:chancelant_etat,fouet-d-ego-v
etat_euphorie,1,hors_groupe:etat_euphorie,tranquillite-euphorique
etat_secoue,1,hors_groupe:etat_secoue,manteau-de-doutes
eteindre_feu,1,hors_groupe:eteindre_feu,detremper
etourdissement_aura_surpuissante,1,confusion_ou_desorientation,detection-du-chaos
etourdissement_exterieurs_chaotiques,1,confusion_ou_desorientation,fleche-de-loi
etourdit_creatures,1,confusion_ou_desorientation,pulsation-synaptique-supreme
etude_progressive_zone,1,zone_d_effet,detection-du-chaos
evasion_possible,1,hors_groupe:evasion,zone-de-verite
evasion_teleportation_possible,1,deplacement_ou_teleportation,cage-de-force
explosion_differee,1,hors_groupe:differee_explosion,detonation
explosion_feu,1,hors_groupe:explosion_feu,boule-de-feu
extension_duree_elixirs,1,hors_groupe:duree_elixir_extension,amplification-d-elixir
extension_retraction_corde,1,hors_groupe:corde_extension_retraction,grappin-opportun
extinction_feu,1,hors_groupe:destination_fixe,manteau-marin
extinction_flammes,1,hors_groupe:extinction_flamme,detremper
familier_sans_vigilance,1,hors_groupe:familier_sans_vigilance,sentinelle-de-sang
famine_vegetale,1,hors_groupe:aptitude_vegetale,terre-maudite
fantasme_collectif,1,hors_groupe:collectif_fantasme,creation-de-paysage-mental-supreme
fascination_auditeurs,1,hors_groupe:auditeur_fascination,bredouillement
fatigue_apres_incantation,1,metamagie_ou_sort_cible,vision-mystique
fatigue_possible,1,hors_groupe:fatigue,traversee-des-ombres
fatigue_sur_succes,1,hors_groupe:fatigue_succe,coup-mental-v
fievereux_alternative,1,hors_groupe:alternative_fievereux,pulsation-synaptique-supreme
flotte_a_un_metre,1,hors_groupe:flotte_metre,disque-flottant
focalisation_adversaire_plus_grand,1,hors_groupe:adversaire_focalisation_grand_plus,contrariete-des-geants
fonte_metaux,1,hors_groupe:fonte_metaux,boule-de-feu
force_basee_sur_niveau,1,terrain_ou_environnement,marteau-arboricole
forme_bestiale,1,transformation_du_sujet,changement-de-forme
forme_draconique,1,transformation_du_sujet,changement-de-forme
forme_elementaire,1,transformation_du_sujet,changement-de-forme
forçage_forme_humaine,1,transformation_du_sujet,voile-lunaire
fou_rire_involontaire,1,hors_groupe:fou_involontaire_rire,symbole-de-fou-rire
fragile_facilement_destructible,1,hors_groupe:destructible_facilement_fragile,oeil-indiscret-supreme
fragilisation_chair,1,hors_groupe:chair_fragilisation,infestation-fongique
fusion_orbes,1,hors_groupe:fusion_orbe,orbe-du-neant
gemme_focalisatrice_requise,1,hors_groupe:focalisatrice_gemme,protection-contre-les-sorts
gemme_spirituelle_requise,1,hors_groupe:gemme_spirituelle,ame-parasite
gestion_multiples_cibles,1,plusieurs_cibles,creation-de-paysage-mental-supreme
groupe_coordonne,1,plusieurs_cibles,traversee-des-ombres
groupe_créatures,1,plusieurs_cibles,blessure-critique-de-groupe
groupe_et_objets_transportables,1,objet_ou_equipement|plusieurs_cibles,teleportation-interplanetaire
guerison_creatures_vivantes,1,soin_ou_guerison,pilier-de-vie
guerison_massive,1,soin_ou_guerison,souhait
guerison_morts_vivants,1,soin_ou_guerison,orbe-du-neant
hallucination_sensorielle,1,hors_groupe:hallucination_sensorielle,hallucination-audiovisuelle
historique_contact,1,attaque_de_contact,pierres-commeres
hostilite_creatures_aquatiques,1,hors_groupe:aquatique_creature_hostilite,tache-noire
humanoïdes_uniquement,1,hors_groupe:humanoide_uniquement,hebetement-de-groupe
hurlement_psychique,1,effet_mental,pulsation-synaptique-supreme
identification_derniers_sorts,1,detection_ou_revelation,detection-de-la-magie-supreme
identification_enchantements,1,detection_ou_revelation,vision-magique-supreme
identification_intensite_aura,1,detection_ou_revelation,detection-du-chaos
identification_magique,1,detection_ou_revelation,signature-magique
identification_trompeuse,1,detection_ou_revelation,heroisme-insipide-supreme
ignore_intangibilite,1,hors_groupe:ignore_intangibilite,armure-instantanee
ignore_solidité,1,hors_groupe:ignore_solidite,resonance
ignorer_resistance_dommages,1,degats_directs,coeur-du-metal
illusion_aura,1,illusion_visuelle_ou_sonore,placage-trompeur
illusion_de_double,1,illusion_visuelle_ou_sonore,image-de-foudre
illusion_lumineuse,1,illusion_visuelle_ou_sonore,lumieres-dansantes
illusion_mentale,1,effet_mental|illusion_visuelle_ou_sonore,creation-de-paysage-mental-supreme
illusion_permanente,1,illusion_visuelle_ou_sonore|duree_prolongee,microcosme
illusion_sensorielle,1,illusion_visuelle_ou_sonore,synesthesie-de-groupe
illusion_sonore,1,illusion_visuelle_ou_sonore,demarche-decalibree
illusion_visuelle,1,illusion_visuelle_ou_sonore,motif-scintillant
images_multicolores,1,illusion_visuelle_ou_sonore,avancee-offensive
imitation_instrument,1,hors_groupe:imitation_instrument,alteration-d-instrument-de-musique
immobilisation_armes,1,entrave_ou_immobilisation|arme_ou_munition,sang-adhesif
immunite_5dv_ou_plus,1,immunite_ou_resistance_element,hebetement
immunite_absorption_energie,1,immunite_ou_resistance_element,protection-contre-la-mort
immunite_armes_distance,1,immunite_ou_resistance_element|arme_ou_munition,vents-de-la-vengeance
immunite_attaque,1,immunite_ou_resistance_element,tranquillite-euphorique
immunite_attaques_materielles,1,immunite_ou_resistance_element|objet_ou_equipement,forme-etheree
immunite_aux_attaques_physiques,1,immunite_ou_resistance_element,image-psychique
immunite_aux_degats,1,degats_directs|immunite_ou_resistance_element,animation-suspendue
immunite_detection,1,immunite_ou_resistance_element|detection_ou_revelation,esprit-impenetrable
immunite_dommage_lanceur,1,degats_directs|immunite_ou_resistance_element,vermine-geante
immunite_energie_negative,1,immunite_ou_resistance_element,protection-contre-la-mort
immunite_neuf_des_de_vie,1,immunite_ou_resistance_element,annihilation-de-mort-vivant
immunite_partielle_fer_froid,1,immunite_ou_resistance_element,aspect-de-fee-hantee
immunite_propres_sorts,1,immunite_ou_resistance_element,salut-du-sang
immunite_rage_personnelle,1,immunite_ou_resistance_element,manteau-de-calme
immunite_repetition_1min,1,immunite_ou_resistance_element,hebetement
immunite_temporaire_sort_ennemi,1,immunite_ou_resistance_element|metamagie_ou_sort_cible,salut-du-sang
immunite_transfert_force_vitale,1,immunite_ou_resistance_element,vie-scellee
immunité_contrôle_mental,1,effet_mental|charme_ou_coercition|immunite_ou_resistance_element,tour-de-volonte-de-fer-v
immunité_possible,1,immunite_ou_resistance_element,image-de-foudre
immunité_saignements_critiques,1,immunite_ou_resistance_element,corps-elementaire-iv
immunité_surdité_partielle,1,immunite_ou_resistance_element,cacophonie
implantation_message_mental,1,effet_mental|communication_ou_langage,messager-verrouille
impossibilité_causer_dégâts,1,degats_directs,prestidigitation
impression_psychique_abstraite,1,effet_mental,contempler-de-loin
incantation_sanguine_acceleree,1,metamagie_ou_sort_cible,salut-du-sang
incapacitation_parole,1,communication_ou_langage,bredouillement
incapacité_parole_magie,1,communication_ou_langage,possession-d-objet
inconscience,1,hors_groupe:inconscience,motif-scintillant
inefficace_sous_eau,1,terrain_ou_environnement,sang-adhesif
inflige_degats,1,degats_directs,eveiller-les-devores
inflige_degats_force,1,degats_directs,rafale-du-belier
inflige_fatigue,1,hors_groupe:fatigue_inflige,fatigue
inflige_niveau_negatif,1,hors_groupe:inflige_negatif_niveau,fouet-de-l-astradaemon
inflige_niveaux_negatifs,1,hors_groupe:inflige_negatif_niveau,orbe-du-neant
infliger_cécité,1,hors_groupe:cecite_infliger,rayon-de-soleil
influence_emotionnelle,1,hors_groupe:emotionnelle_influence,examen-approfondi
information_contextuelle,1,divination_information,sages-murmures
information_obscure_et_enigmatique,1,divination_information,pronostic-supreme
informations_incompletes_possible,1,divination_information,vision-mystique
instrument_temporaire,1,hors_groupe:instrument_temporaire,convocation-d-instrument
intangibilite,1,hors_groupe:ignore_intangibilite,forme-etheree
intensification_avec_jugement,1,hors_groupe:avec_intensification_jugement,flammes-du-fidele
interaction_revele_illusion,1,illusion_visuelle_ou_sonore,ecran
interception_sorts,1,hors_groupe:interception,aura-d-avidite
interdiction_action,1,hors_groupe:action_interdiction,action-interdite
interrogation_environnement,1,terrain_ou_environnement,pierres-commeres
intervention_divine,1,alignement_ou_divin,miracle
invisibilite_temporaire,1,invisibilite_ou_dissimulation,forme-etheree
invocation_alliés,1,invocation_ou_creation,convocation-d-allies-naturels-iv
invocation_ames,1,invocation_ou_creation,eveiller-les-devores
invocation_colonne_lumineuse,1,invocation_ou_creation,pilier-de-vie
invocation_de_creatures,1,invocation_ou_creation,convocation-d-allies-naturels-viii
invocation_guerison,1,soin_ou_guerison|invocation_ou_creation,guerison-de-destrier
invocation_teleportation,1,invocation_ou_creation|deplacement_ou_teleportation,teleportation-supreme
isolation_auditive_selective,1,illusion_visuelle_ou_sonore,communication-securisee-supreme
isolation_conditions_exterieures,1,hors_groupe:condition_exterieure_isolation,anneau-de-repli-feerique
isolation_du_rivage,1,hors_groupe:isolation_rivage,tache-noire
jamais_surpris,1,hors_groupe:jamai_surpri,premonition
javelots_projectiles,1,rayon_ou_projectile,glace-maudite
jet_de_sauvegarde_ameliore,1,jet_de_sauvegarde,reflexes-accrus
jet_de_sauvegarde_objet,1,jet_de_sauvegarde|objet_ou_equipement,metal-gele
jet_de_volonte_pour_decouvrir,1,hors_groupe:decouvrir_jet_volonte,son-imaginaire
jet_sauvegarde_chaque_round,1,jet_de_sauvegarde,empoisonnement
jet_sauvegarde_niveau_7,1,jet_de_sauvegarde,souhait-limite
jet_vigueur,1,jet_de_sauvegarde,fatigue
jet_volonte,1,jet_de_sauvegarde,action-interdite
jet_volonte_defensif,1,jet_de_sauvegarde|protection_defensive,manteau-de-doutes
jet_volonte_obligatoire,1,jet_de_sauvegarde,interdiction-du-fou
jet_volonte_resistance,1,jet_de_sauvegarde,contact-defigurant
jugement_partage,1,hors_groupe:jugement_partage,rendre-un-jugement-superieur
lancement_de_sorts_psychiques,1,effet_mental|metamagie_ou_sort_cible,image-psychique
lancer_grappin_sur_objet,1,objet_ou_equipement,grappin-opportun
lecture_langage_corporel,1,communication_ou_langage,examen-approfondi
liberation_paralysie,1,entrave_ou_immobilisation,hurlement-primitif
liberation_possible,1,hors_groupe:liberation,enchevetrement
lien_au_lanceur,1,hors_groupe:lanceur_lien,sentinelle-de-sang
lien_magique_temporaire,1,hors_groupe:cosmetique_temporaire,sacrifice-partage
ligne_effet,1,hors_groupe:ligne,froide-frappe-de-glace
limitation_actions,1,hors_groupe:action_immediate,eternuement-de-feu
limitation_par_des,1,hors_groupe:baton_limitation,microcosme
limitation_points_de_vie,1,hors_groupe:limitation_point_vie,mot-de-pouvoir-etourdissant
limitation_temporaire,1,hors_groupe:alteration_temporaire,action-interdite
limitation_un_baton,1,hors_groupe:baton_limitation,baton-a-sort
limite_distance_meme_plan,1,hors_groupe:distance_limite_meme_plan,mot-de-rappel
limite_points_vie,1,hors_groupe:limitation_point_vie,mot-de-pouvoir-mortel
limon_vert,1,hors_groupe:limon_vert,caresse-vaseuse
localisation_de_l_observateur,1,detection_ou_revelation,detection-de-la-scrutation
localisation_fausse,1,detection_ou_revelation,demarche-decalibree
localisation_navire,1,detection_ou_revelation,pistage-d-un-navire
localisation_source_chaos,1,detection_ou_revelation|alignement_ou_divin,detection-du-chaos
localisation_sources_magiques,1,detection_ou_revelation,detection-de-la-magie-supreme
main_magique_interposee,1,hors_groupe:interposee_magique_main,main-interposee
maintien_proximité_focaliseur,1,entrave_ou_immobilisation,ascension
mal_necromantique,1,hors_groupe:mal_necromantique,terre-maudite
maladie,1,hors_groupe:maladie,caresse-vaseuse
maladie_fongique,1,hors_groupe:fongique_maladie,infestation-fongique
malefice_eau,1,terrain_ou_environnement,malediction-de-l-eau
malus_attaque,1,malus_chiffre,manteau-de-calme
malus_attaque_progressif,1,malus_chiffre,plaie-au-visage
malus_changement_forme,1,malus_chiffre,voile-lunaire
malus_combat_subaquatique,1,malus_chiffre,mur-de-saumure
malus_dexterite,1,malus_chiffre,boule-de-goudron
malus_jets_attaque,1,malus_chiffre,heroisme-insipide-supreme
malus_jets_sauvegarde,1,malus_chiffre|jet_de_sauvegarde,heroisme-insipide-supreme
malus_sagesse_et_volonte,1,malus_chiffre,brume-mentale
malus_sorts_psychiques,1,malus_chiffre|effet_mental,manteau-de-doutes
malus_tests_competence,1,malus_chiffre,heroisme-insipide-supreme
malédiction_contact,1,attaque_de_contact,contact-defigurant
malédiction_deshydratation,1,hors_groupe:deshydratation_malediction,coupe-de-poussiere
maneuvrabilite_bonne,1,hors_groupe:bonne_maneuvrabilite,vol-superieur
manifestation_vaporeuse,1,hors_groupe:manifestation_vaporeuse,appel-d-un-esprit
manipulation_effet_sort,1,hors_groupe:manipulation,dissimuler-la-magie
manipulation_langage_corporel,1,communication_ou_langage,placage-trompeur
manipulation_legere_objets,1,objet_ou_equipement,prestidigitation
manipulation_physique_mineure,1,hors_groupe:manipulation_mineure_physique,appel-d-un-esprit
manoeuvre_croc_en_jambe,1,hors_groupe:croc_jambe_manoeuvre,sabot-du-tonnerre
manteau_lumineux,1,hors_groupe:lumineux_manteau,manteau-de-colere
masquage_aura_magique,1,invisibilite_ou_dissimulation,dissimuler-la-magie
masquage_zone,1,zone_d_effet|invisibilite_ou_dissimulation,ecran
materiel_musical_conjure,1,objet_ou_equipement,convocation-d-instrument
metamorphose_multiple,1,transformation_du_sujet|plusieurs_cibles,changement-de-forme
metamorphose_plante,1,transformation_du_sujet|terrain_ou_environnement,forme-vegetale-iii
modification_apparence_objets,1,objet_ou_equipement,prestidigitation
modification_perception,1,perception_amelioree,creation-de-paysage-mental-supreme
modification_perception_spatiale,1,perception_amelioree,localite-egaree
modification_realite,1,hors_groupe:modification_page_texte,souhait
modification_sonore_instrument,1,hors_groupe:instrument_modification_sonore,alteration-d-instrument-de-musique
modification_texte_page,1,hors_groupe:modification_page_texte,page-secrete
mort_de_la_cible,1,hors_groupe:mort,ame-parasite
mort_difficile_a_inverser,1,hors_groupe:difficile_inverser_mort,destruction
mort_instantanee,1,duree_instantanee,mot-de-pouvoir-mortel
mort_vivant_tue_instantanement,1,duree_instantanee,annihilation-de-mort-vivant
mouillage_objet,1,objet_ou_equipement,detremper
mouvement_ligne_droite,1,deplacement_ou_teleportation,avancee-offensive
mouvements_preprogrammes,1,deplacement_ou_teleportation,hallucination-audiovisuelle
multiple_cibles,1,plusieurs_cibles,synesthesie-de-groupe
multiplicateur_variables,1,hors_groupe:multiplicateur_variable,amplification-d-elixir
murmures_naturels,1,hors_groupe:murmure_naturel,sages-murmures
nage_gratuite,1,hors_groupe:gratuite_nage,manteau-marin
nausee,1,hors_groupe:nausee,bredouillement
navigation_imprecise,1,hors_groupe:imprecise_navigation,traversee-des-ombres
navigation_instantanee,1,duree_instantanee,reperage
necessite_contact_sol,1,attaque_de_contact|terrain_ou_environnement,sabot-du-tonnerre
necromancie_malveillante,1,hors_groupe:malveillante_necromancie,creation-de-mort-vivant
necromancien_benefique,1,hors_groupe:benefique_necromancien,orbe-du-neant
