Dons,Src,Conditions,Avantages
Coup dans l'ombre*,MJRA,BBA +1,Infliger des dégâts de précision même aux cibles camouflées
Coup de bouclier opportuniste*,MJRA,"Science du coup de bouclier, Maîtrise du bouclier, Combat à deux armes, BBA +11",Attaque de bouclier gratuite après un coup critique
Coup de brute*,MR,"1 rang en Intimidation, orque",Intimide les créaures en attaquant
Coup de dégagement*,AG,"Int 13, Expertise du combat, Feinte de dégagement, Esquive, Science de la feinte, Souplesse du serpent","Quand le personnage utilise Feinte de dégagement, il peut faire une attaque"
Coup de flèche*,MJRA,"Tir rapide, elfe",Utiliser une flèche comme arme de corps à corps pour repousser les ennemis
Coup de fouet démoralisant*,MR,"BBA +1, 1 rang en Intimidation, hobgobelin",Frappe un ennemi démoralisé avec un fouet pour augmenter la durée de la démoralisation
Coup de grâce de l'enragé,AG,Capacité de classe rage de grand berserker,Éventre un adversaire agonisant et gagne un round de rage
Coup de la cockatrice*,MJRA,"Science du combat à mains nues, Poing de la gorgone, Fureur de la méduse, BBA +14",Pétrifier une cible après un coup critique
Coup déloyal,AG,"Arme en main, Persuasion, BBA +3",Attaque gratuite après un test de Diplomatie réussi
Coup désarmant*,MJRA,"Int 13, Expertise du combat, Science du désarmement, BBA +9",Tenter un désarmement en cas de coup critique
Coup déséquilibrant*,MJRA,"Int 13, Expertise du combat, Science du croc-en-jambe, BBA +9",Tenter un croc-en-jambe en cas de coup critique
Coup désespéré*,MR,"Combattant prudent, BBA +1, halfelin","Une fois par jour, le personnage peut faire une unique attaque de corps à corps alors qu’il est en défense totale . Il gagne aussi un bonus de +4 aux confirmations de coup critique quand il se bat sur la défensive ou qu’il fait une attaque d’opportunité à l’aide de ce don.

Astuce martiale ( règles ) ¶ Le personnage peut dépenser 5 points d’endurance pour utiliser ce don une fois de plus dans la journée. Il doit dépenser 5 points d’endurance à chaque fois qu’il utilise cette astuce martiale."
Coup déstabilisant*,AG,"Int 13, For 13, Expertise du combat, Science du croc-en-jambe, Attaque en puissance, BBA +6",Possibilité de faire un croc-en-jambe avec une attaque en puissance
Coup déstabilisant (CM)*,CM,"For 13, Attaque en puissance, Frappe décisive, BBA +8",Utilise la Frappe décivise pour rendre un adversaire chancelant
Coup destructeur*,MJRA,"For 13, Science de la destruction, Attaque en puissance, BBA +9",Tentative de destruction en cas de coup critique
Coup écrasant*,AG,"Science du combat à mains nues, Coup étourdissant",Le coup étourdissant réduit la CA de la cible
Coup étourdissant*,MJ,"Dex 13, Sag 13, Science du combat à mains nues, BBA +8",L'attaque à mains nues étourdit l'adversaire
Coup fabuleux*,B1,"For 25, Attaque en puissance, Science de la bousculade, taille G ou plus",Manœuvre qui permet de projeter les ennemis en arrière.
Coup final mortel*,AG,BBA +11,Les ennemis qui tombent doivent réussir un jet de Vigueur ou mourir
Coup final sanglant*,AG,"Démonstration, Arme de prédilection",Le personnage a droit à un test d'Intimidation s'il fait passer un adversaire en dessous de 0 point de vie
Coup final violent,AG,"Capacité de classe rage de berserker, Frappe décisive, BBA +6",Inflige les dégâts maximaux et met fin à la rage
Coup mémorable*,MJRA,"Con 13, Sag 13, Science du combat à mains nues, BBA +8",Mettre à terre ou repousser un ennemi avec une attaque à mains nues
Coup odieux*,MJRA,Attaque sournoise +5d6,Délivrer un coup de grâce à une cible recroquevillée ou étourdie
Coup parfait*,MJRA,"Dex 13, Sag 13, Science du combat à mains nues, BBA +8",Faire deux lancers pour les attaques avec une arme de moine et choisir le meilleur
Coup repositionnant*,MJRA,"Int 13, Expertise du combat, Science du croc-en-jambe, BBA +9",Tenter un repositionnement après un coup critique
Coupeur de gorge*,HoS,BBA +1,Coup de grâce rapide avec des armes légères
Coups protecteurs*,MJRA,"For 13, Attaque en puissance, BBA +1",Réduire les dégâts avec une arme à deux mains pour gagner un bonus de bouclier de +4
Courage en bouteille,ISG,"Capacité de classe courage, suivant de Cayden Cailéan",L'alcool améliore les effets de la capacité de classe courage
Courage inspirant*,UI,"Cha 13, capacité de classe courage",Courage affecte tous les alliés dans un rayon de 9 m
Courage social*,UI,"Cha 13, capacité de classe courage",Courage s'applique à et contre différentes actions sociales
Courage supérieur*,UI,"Cha 13, capacité de classe courage",Courage s'applique à tous les effets mentaux
Coureur des villes,UI,Débrouillardise,Déplacement rapide et sécurisé en milieu urbain
Course,MJ,—,Le personnage court jusqu'à 5 fois sa vitesse de base
Couteau de sorcière,AM,Sorcière,Utilise une dague comme focalisateur pour les sorts de protecteur
Crachat venimeux (nagaji)*,MR,Nagaji,Crache du poison jusqu'à 3m de distance pour aveugler une créature
Crame ! Crame ! Crame !,MR,"1 rang en Sabotage, gobelin","Inflige des dégâts de feu supplémentaires avec les attaques de feu non-magiques, +4 aux jets de sauvegarde pour ne pas prendre feu"
Crâne allongé,AO,—,Bonus et malus en fonction de la forme de crâne choisie
Création d'armes à feu,AG,—,"Peut créer, réparer et restaurer des armes à feu"
Création d'élixir sanguin,AM,"Cha 15, Préparation de potions, 12 rangs en Artisanat (alchimie), ensorceleur de niveau 3",Créer un élixir qui permet à autrui d'utiliser un pouvoir de lignage
"Création de reliques, armes ou boucliers",AM,"Création d'armes et armures magiques, capacité à lancer sanctification ou profanation",L'arme ou le bouclier devient un symbole sacré
Creuseur de terrier,CM,Goule,Gain d'une vitesse de creusement
Cri de guerre*,MCA,"Cha 13; BBA +5 ou 5 rangs en Représentation (scène, déclamation, ou chant)",Le personnage pousse un cri qui accorde à ses alliés un bonus de +1 aux jets d'attaque et un bonus de +4 aux jets de sauvegarde contre la terreur
Cri de guerre (DTT),DTT,Capacité de classe représentation bardique,Utilisation de représentation bardique gratuite pendant le round de surprise
Crise de larmes,MR,"1 rang en Bluff, capacité de classe rage de berserker, gnome",Utilise la compétence Bluff pour feinter pendant une rage
Critique sauvage,CM,"For 19, ogre, attaque sournoise +2d6",Ajoute les dégâts d'attaque sournoise lors d'une Frappe décisive critique
Critiques divers*,MR,"Guerrier de niveau 11, humain","1 fois par jour, gagne un don de critique"
Croc-en-jambe au bâton*,AM,"Int 13, Expertise du combat, Science du croc-en-jambe, Arme de prédilection (bâton), BBA +6",Le bâton est considéré comme une arme avec la propriété croc-en-jambe
Croc-en-jambe du cornugon*,RSE,"Dex 15, Science du croc-en-jambe, Arme de prédilection (chaîne cloutée)",Effectue des manoeuvres de croc-en-jambe avec une chaîne cloutée lancée
Croc-en-jambe supérieur*,MJ,"Science du croc-en-jambe, BBA +6",Les ennemis victimes d'un croc‑en‑jambe provoquent une attaque d'opportunité
Crocs acérés,MJRA,Demi-orque,Gagne une attaque de morsure
Cruauté,ISG,Suivant de Zon-Kuthon,"Lorsque le personnage inflige des dégâts de saignement à un adversaire, le soumet à un effet de peur ou de douleur , ou réduit ses points de vie à 0 ou moins, il gagne un bonus de moral de +2 aux jets d'attaque et de dégâts des armes pendant 1 round."
Cul sec,MJRA,"Con 18, capacité de classe ki alcoolisé",Boire par une action rapide
Curiosité intrépide,MR,"Cha 13, humain","Le personnage gagne un bonus de +1 aux jets de sauvegarde contre les effets du registre des émotions. De plus, à chaque fois qu’il commence un round sous l’emprise d’un effet de terreur, il a droit à un nouveau jet de sauvegarde au début de son tour pour diminuer la sévérité de l’effet (de paniqué à effrayé, d’ effrayé à secoué et de secoué à rien)."
Dangereuse queue*,CM,"BBA +5, homme-lézard",Gain d'une attaque de queue
Dans le mille*,D&M,"Tir à bout portant, Tir de précision, BBA +5",Gagne un bonus de +4 à la prochaine attaque à distance par une action de mouvement
Danse des chaînes*,BD,"Dex 15, Attaque en finesse, Maîtrise des chaînes, Maniement d'une arme exotique (chaîne cloutée), 1 rang en Représentation (danse)","Ajoute le modificateur de Dex à la place de celui de For avec les chaînes cloutées, allonge augmentée de 1,5 m avec les chaînes cloutées pendant son tour"
Danse du derviche*,CCMI,"Dex 13, Attaque en finesse, 2 rangs en Représentation (danse), maniement du cimeterre",Utilise le modificateur de Dextérité au lieu de Force au cimeterre
Danseur à la baguette,CCMI,"Dex 13, Esquive, Souplesse du serpent, 5 rangs en Représentation (danse)",Le personnage peut se déplacer avant et après avoir utilisé une baguette
Danseur de la lance*,D&M,"Arme de prédilection (n’importe quelle arme d’allonge à deux mains), 4 rangs en Représentation (danse)",Éblouit les créatures touchées avec une arme d'allonge à deux mains
Dard du papillon*,D&M,"Expertise du combat, suivant de Desna",Offre un coup critique confirmé à un allié
Débiter les orques*,MR,"For 13, Enchaînement, Enchaîner les gobelins, Attaque en puissance, nain","Ce don fonctionne comme Enchaîner les gobelins , mais les attaques supplémentaires sont valables contre des adversaires de la taille du personnage ou moins. Les attaques supplémentaires portées contre les humanoïdes (orques) bénéficient d’un bonus de circonstances de +2 aux jets d’attaque .

Astuce martiale ( règles ) ¶ Tant que le personnage possède encore au moins un point d’endurance dans sa réserve, son bonus aux attaques d’ Enchaînement contre les humanoïdes de sous-type orque passe à +4."
Débrouillardise,UI,—,"Le personnage obtient un bonus de +2 aux tests de Connaissances (folklore local) et de Psychologie , et Connaissances (folklore local) est toujours une compétence de classe pour lui. Si le personnage a 10 rangs ou plus dans l'une de ces compétences, le bonus passe à +4 pour cette compétence. Le bonus aux tests de Psychologie ne se cumulent pas avec Vigilance ."
Déclenchement manuel,AG,5 rangs en Artisanat (pièges),Déclenche manuellement un piège pour avoir un bonus de +2 au jet d'attaque et au DD
Découverte supplémentaire,MJRA,Capacité de classe découvertes,Gagne une découverte de plus
Défense à deux armes*,MJ,Combat à deux armes,Bonus de bouclier de +1 quand le personnage combat à deux armes
Défense fantomatique,AO,"Capacité de classe fantôme, fantôme avec la capacité vol sous forme intangible",Le fantôme a des chances d'ignorer les coups critiques et les dégâts de précision
Défense instinctive*,MR,"Combattant prudent, BBA +3, halfelin",Bonus aux Réflexes et au DMD en combattant sur la défensive ou en défense totale
Défense maladroite*,MR,"Combattant prudent, halfelin",Confère un bonus à la CA et au DMD des alliés en combattant sur la défensive ou en défense totale
Défenseur du royaume,CSU,Affinité avec la dictature militaire athéiste des Royaumes indépendants,Châtie un ennemi de la dictature militaire athéiste des Royaumes indépendants une fois par jour
Défenseur psychique,AO,"Int 13, Sensibilité psychique ou capacité à lancer des sorts psychiques ou des pouvoirs magiques psychiques, personnage de niveau 3",Gain de points de vie temporaires au début d'un duel psychique
Dégagement flamboyant*,AG,"Int 13, Expertise du combat, Feinte de dégagement, Science de la feinte",Une feinte réussie permet au personnage de faire comme si sa case de départ n'était pas menacée
Dégainer en traître,AA,Arme en main,Utilise Escamotage plutôt que Bluff pour feinter
Déluge des tonnerres jumeaux*,AG,"Nain ou gnome, trait racial entraînement défensif; Science du combat à deux armes et Combat à deux armes, ou capacité de classe déluge de coups; Tonnerres jumeaux; Arme de prédilection avec les deux armes utilisées; BBA +6",Possibilité de croc-en-jambe contre un géant de taille TG et +2 points de dégâts contre les géants
Déluge du croisé,AG,"Capacités de classe canalisation d'énergie et déluge de coups, Arme de prédilection avec l'arme de corps à corps du dieu",Peut utiliser déluge de coups avec l'arme de prédilection de son dieu
Démarche de l'araignée,MJRA,"6 rangs en Acrobaties, 6 rangs en Escalade, moine de niveau 6",Marcher sur les murs ou les plafonds sur la moitié de la distance de chute ralentie
Démarche de l'araignée (drow),MR,"Personnage de niveau 3, drow","Le drow peut lancer le pouvoir magique pattes d’araignée une fois par jour et utilise son niveau pour définir son niveau de lanceur de sorts. De plus, il gagne un bonus de +4 à ses jets de sauvegarde contre l’attaque spéciale de toile des araignées et les effets de toile d’araignée et autres sorts similaires (comme nuage de toile )."
Démolisseur de pièges,MR,"Attaque en puissance, 1 rang en Sabotage, orque",Détruit les pièges au lieu de les désarmer
Démonstration*,MJ,Arme de prédilection,Intimide les ennemis dans un rayon de 9 m
Démonstration décourageante*,MCA,"Démonstration, Arme de prédilection, BBA +6, maniement de l'arme choisie",La démonstration accroît un effet de terreur
Démonstration terrifiante*,MR,"Démonstration, Coup de fouet démoralisant, Maître des opérations, Arme de prédilection, 10 rangs en Intimidation, hobgobelin, maniement de l'arme choisie",Encourage les alliés avec Maître des opérations pendant une Démonstration
Dents acérées,CM,Homme-rat,Gain d'une attaque de morsure
Dents de fouisseur,MR,"Griffe-tranchante, Rat des tunnels, homme-rat",Gain d'une vitesse de creusement limitée
Déplacement acrobatique,MJ,"Dex 15, Aisance",Ignore 6 m de terrain difficile lors d'un déplacement
Déplacement mystique,AM,"Dex 15, Aisance, capacité de classe déplacement facilité","Déplacement à vitesse maximale, même dans une végétation densifiée par magie"
Dératiseur*,HoS,"1 rang en Connaissances (exploration souterraine), BBA +1","Bonus au combat contre les créatures plus petites, subit moins de dégâts des nuées"
Derviche dimensionnel,AG,"Capacité de classe pas chassé ou capacité à lancer porte dimensionnelle, Agilité dimensionnelle, Assaut dimensionnel, BBA +6","Pendant une action complexe, le personnage peut lancer porte dimensionnelle ou utiliser pas chassé par une action rapide"
Désamorçage à distance,UI,"Arme de prédilection, Tir de loin, Tir à bout portant, 9 rangs en Sabotage",Utilise une arme à distance pour utiliser le Sabotage
Désarçonner*,MJ,"Science de la bousculade, Combat monté",Désarçonne les adversaires
Désarmement sale*,DTT,"Int 13, Expertise du combat, Science du sale coup, Science du désarmement, BBA +6",Combine une manoeuvre de désarmement et de sale coup
Désarmement supérieur*,MJ,"Science du désarmement, BBA +6","Quand le personnage désarme son adversaire, il envoie ses armes au loin"
Descendance pure,ISR,"Deux sous-types, trait racial sang elfique ou sang orque",N'est pas considéré comme étant de ses sous-types ou de sa race dans le cadre des effets qui en dépendent
Destin glorieux,CMy,"Vigueur surhumaine, Volonté de fer, ou Réflexes surhumains",Gain d'utilisations supplémentaires de montée en puissance
Destin intrépide,MR,"Cha 13, Curiosité intrépide, 10 rangs en Intimidation, humain","Le personnage gagne un bonus de +1 aux jets de sauvegarde contre les effets du registre des émotions. Ce bonus se cumule avec celui des dons Curiosité intrépide et Assurance intimidante .

De plus, une fois par jour, le personnage peut refaire un jet de sauvegarde ou d’attaque s’il a obtenu un 1 naturel. Si ce deuxième jet se traduit par une attaque ou une sauvegarde réussie, il peut faire un test d’ Intimidation , par une action libre , pour démoraliser la cible de son attaque ou la créature qui l’a obligé à faire le jet de sauvegarde , tant que cette créature ou cette cible se trouve à moins de 9 m (6 c ) de lui et qu’elle le voit et l’entend.

Cet effet ne s’applique pas aux jets de sauvegarde contre les pièges et autres objets.

Il ne se cumule pas avec d’autres effets qui permettent de refaire un jet de sauvegarde ou un jet d’attaque . Le personnage ne peut relancer le dé qu’une seule fois."
Destruction d'arme supérieure*,MJ,"Science de la destruction, BBA +6",Les dégâts des tentatives de destruction sont transférés à l'ennemi
Détection de l'expertise,AM,"Int 13; capacité à lancer détection du chaos, détection du mal, détection du bien, détection de la loi, ou détection de la magie",Détecte les aptitudes magiques d'une créature
Détection officieuse,AM,Capacité de classe détection du mal,Utilisation de la détection du mal pour avoir un bonus aux tests de Perception et de Psychologie
Détournement offensif*,UI,"Int 13, Détournement redirigé, Détournement tactique, Expertise du combat, Fourberie, 10 rangs en Bluff","Pendant un Détournement tactique, l'attaquant provoque une attaque d'opportunité"
Détournement redirigé*,UI,"Int 13, Détournement tactique, Expertise du combat, Fourberie, 10 rangs en Bluff","Pendant un Détournement tactique, redirige l'attaque sur une autre créature"
Détournement tactique*,UI,"Int 13, Expertise du combat, Fourberie, 4 rangs en Bluff","En défense totale, utilise le Bluff pour annuler une attaque"
Développement de la résistance,AG,"Dur à cuire, Endurance, BBA +4",Renonce au bonus d'esquive à la CA pour obtenir une RD équivalente
Dignité divine,ISG,"Magie de guerre, capacité à lancer des sorts divins, suivant d'Abadar",Lance des sorts divins inoffensifs sans provoquer d'attaques d'opportunité
Dilettante,RSE,2 rangs dans 5 Connaissances différentes,Vous gagnez un bonus de +2 sur les tests de Connaissances si vous avez 1 à 5 rangs dans cette compétence. Ce bonus ne se cumule pas avec Talent . Vous pouvez faire des tests de Connaissances sans avoir la compétence avec des DD allant jusqu’à 15.
Discernement ultérieur,AM,Capacité de classe détection des mensonges,"Détecte les mensonges dans une phrase entendue plus tôt, même plusieurs heures avant"
Disciple damné,BD,Obédience fiélonne,Accès aux faveurs d'évangéliste et bonus de malfaisance de +2 à deux compétences
Disciple de l'épée,ISG,"Arme de prédilection (épée longue), prêtre ou inquisiteur de niveau 4, suivant d'Iomédae",Gain des effets du don Spécialisation martiale (épée longue)
Disciple psychique,AO,"Int 13, Adepte psychique, Sensibilité psychique","Lance un sort psychique de niveau 1, 2/jour comme un pouvoir magique"
Discipliné*,CCMI,—,bonus de combat temporaire après avoir résisté à un effet de peur
Discipline hobgobeline,MR,"BBA +1, hobgobelin","À partir du moment où le hobgobelin est dans un rayon de 9 mètres d’au moins deux autres hobgobelins, il gagne un bonus de moral de +1 à ses jets de sauvegarde."
Discret,MJ,—,"Le personnage obtient un bonus de +2 sur tous ses tests de Discrétion et d’ Évasion . Si le personnage a 10 rangs ou plus dans l’une de ces compétences, le bonus ajouté à cette compétence augmente à +4.

Version mythique ¶ La grâce et la fluidité motrice du personnage sont incomparables.

Le bonus aux tests d’ Évasion et de Discrétion conféré par le don Discret augmente de +2. De plus, le personnage peut dépenser une utilisation de pouvoir mythique pour considérer qu’il obtient un 20 naturel lorsqu’il effectue l’un de ces tests. Le personnage doit décider s’il utilise cette aptitude avant de lancer le dé."
Discrétion du chat infernal,RSE,"Talent (Discrétion), 6 rangs en Discrétion","Effectue des tests de Discrétion même dans des zones éclairées, même en étant observé"
Discrétion exquise,UI,"Dex 15, Discrétion prudente, 6 rangs en Discrétion",Utilise la Discrétion sans malus d'armure légère ou intermédiaire
Discrétion prudente,UI,"Dex 13, 3 rangs en Discrétion",Utilise la Discrétion lentement sans malus d'armure légère ou intermédiaire
Diseuse de bonne aventure,CCMI,Capacité à lancer des sorts de divination,Certains sorts de divination bénéficient d'un bonus de +1 au NLS
Dispense de composantes matérielles,MJ,—,Pas besoin de composantes matérielles pour lancer un sort
Dispositifs subtils,HoS,Discret,Utilise la Discrétion pour camoufler l'utilisation d'objets magiques
Dissimulation de sort,UI,"Fourberie, 1 rang en Bluff, 1 rang en Déguisement, 1 rang en Escamotage",Cache les preuves d'un lancement de sort
Dissimulation de sort supérieure,UI,"Dissimulation de sort, Fourberie, 5 rangs en Bluff, 5 rangs en Déguisement, 10 rangs en Escamotage, capacité à lancer des sorts de 3e niveau ou à utiliser un pouvoir magique de 3e niveau",Cache les sorts puissants plus facilement
Dissipation des obstacles,MTT,—,Le personnage peut dissiper les sorts de fosses et de murs qu'il créé
Dissipation destructrice,AG,"Capacité à lancer dissipation de la magie ou dissipation suprême, NLS 11","Si le personnage réussit une dissipation de la magie, sa cible doit réussir un jet de sauvegarde pour ne pas être étourdie"
Distraction en combat,MR,"Gobelin, 1 rang en Acrobaties, 1 rang en Évasion",Distrait un ennemi avec des actes imprévisibles
Distraction télépathique,CM,"Cha 15, homme-serpent",Concentre la télépathie pour rendre une créature plus vulnérable aux effets mentaux
Doigts de fée,MJ,—,"Le personnage obtient un bonus de +2 sur tous ses tests d’ Escamotage et de Sabotage . Si le personnage a 10 rangs ou plus dans l’une de ces compétences, le bonus ajouté à cette compétence augmente à +4.

Version mythique ¶ Le personnage fait preuve d’une agilité manuelle exceptionnelle.

Les bonus aux tests de Sabotage et Escamotage conférés par Doigts de fée sont augmentés de +2. De plus, le personnage peut dépenser une utilisation de pouvoir mythique pour considérer qu’il a obtenu un 20 naturel à l’un de ces tests. Le personnage doit décider s’il utilise cette aptitude avant de lancer le dé."
Domination martiale*,UI,"BBA +5, 1 rang en Intimidation",Base l'Intimidation sur l'entraînement martial et intimide après un coup critique
Dompteur de feu,MR,Gobelin,"Le gobelin gagne un bonus de +2 à ses jets de sauvegarde contre les sorts du registre feu. En outre, ses cicatrices le distinguent comme un talentueux dompteur de feu, lui accordant un bonus de circonstances de +2 à ses jets de Diplomatie et d’ Intimidation lorsqu’il traite avec d’autres gobelins."
Don de l'esprit,MCA,Capacité de classe compagnon animal ou familier,Le personnage communie avec un esprit pour accorder à son compagnon animal ou à son familier une amélioration d'esprit de chaman
Don de la mère,MR,Changelin,Améliore l'héritage que sa mère guenaude a légué au personnage
Donner l'initiative,AM,Capacité de classe initiative rusée,Accorde un bonus d'initiative à un allié
Dormeur,CM,"Creuseur de terrier, goule",Gain du pouvoir guérison accélérée près de terre ou de pierre
Double frappe*,MJ,Combat à deux armes,Ajoute le bonus de For aux dégâts de l'arme de la main non directrice
Double tueur,AG,"Capacité de classe tueur, Combat à deux armes",Applique tueur sur la seconde arme du personnage
Douleur bienvenue,D&M,"Volonté de fer, suivant du Zon-Kuthon",Annule les dégâts continus ou répétés avant qu'ils ne rendent inconscient
Douleur composée*,AO,"Hypnotiseur de niveau 13, capacité de classe regard douloureux",Applique les effets de deux dons de regard au regard douloureux
Duelliste à la falcata*,CCMI,"Dex 13, Maniement d'une arme exotique (falcata), maniement de la targe, Arme de prédilection (falcata)",Gain d'un bonus de +1 à la CA et de +2 aux tests d'Acrobaties
Dur à cuire,MJ,Endurance,"Stabilisation automatique, le personnage reste conscient en dessous de 0 pv"
Dur comme le fer,CM,"Robustesse, duergar",Les bonus d'altération à l'armure naturelle fonctionnent mieux sur le personnage
Écailles et peau,MTT,Con 13,"Lorsque un sort ou un pouvoir magique de transmutation affecte le personnage, son bonus d’armure naturelle augmente de 1. Si le personnage ne possède aucun bonus d’armure naturelle à la CA , on considère qu’il est à 0 lorsqu’il s’agit de ce don. Le bonus passe à +2 si le niveau de lanceur de sorts de l’effet est de 10 ou plus.

Scale and skin

When you are changed by magic, your skin also toughens.

Prerequisite: Con 13.

Benefit: Whenever a transmutation spell or spell-like ability affects you, your natural armor bonus increases by 1. If you have no natural armor bonus to Armor Class, treat your natural armor bonus as 0 for the purposes of this feat. The bonus to your natural armor bonus increases by 2 if the caster level of the effect is 10th or higher."
Échange trompeur,AG,"Int 13, Expertise du combat, Science de la feinte","Si le personnage réussit sa feinte, il peut obliger son adversaire à accepter un objet"
Échappée surprenante*,UI,Capacité de classe apparition surprenante,Déplacement après une apparition surprenante
Échos de la pierre,MR,Oréade,"L’oréade gagne un bonus racial de +4 à ses tests
de Perception sous terre, et à ses tests de Survie pour éviter
de se perdre dans les grottes et les zones rocheuses."
Éclats d'arme,AG,"BBA +1, maniement de l'arme utilisée, l'arme utilisée est en matériau primitif",Brise une arme pour infliger des dégâts de saignement
Éclectisme,MJRA,Humain,Gagne une classe de prédilection de plus
École du scorpion*,MJ,Science du combat à mains nues,"Réduit la vitesse de déplacement de la cible à 1,5 m"
École renforcée,MJ,—,"Le Degré de Difficulté des jets de sauvegarde contre tous les sorts de l’ école choisie lancés par le personnage augmente de +1.

Le personnage sélectionne une école de magie déjà choisie avec le don École renforcée. Le bonus aux DD des jets de sauvegarde conféré par École renforcée et École supérieure dans l’école de magie choisie augmente de +1. Le personnage peut dépenser une utilisation de pouvoir mythique lors de l’incantation d’un sort issu de l’école choisie pour obliger les cibles du sort à lancer deux fois leur jet de sauvegarde et à conserver le pire."
École supérieure,MJ,École renforcée,Le degré de difficulté des jets de sauvegarde contre les sorts de l’ école choisie par le personnage augmente de +1. Ce bonus s’ajoute à celui d’ École renforcée .
Écrasement d'ogre,CM,"For 25, Science de la lutte, Science du combat à mains nues, ogre, taille G ou plus","Augmente les dégâts des attaques à mains nues contre la cible d'une lutte, gain du pouvoir constriction"
Écuyer de l'Empire décadent,RSE,"BBA +1, maniement d'une arme de guerre","Lorsqu’il se situe à 15 mètres ou moins d’un allié monté qui possède le don Combat monté , le personnage gagne un bonus de +2 à l’ initiative . Si cet allié est blessé, le personnage gagne un bonus d’esquive de +1 à sa CA tant qu’il reste à 3 mètres ou moins de lui."
Efficacité des sorts accrue,MJ,—,"Le personnage bénéficie d’un bonus de +2 à son test de niveau de lanceur de sorts (1d20 + niveau de lanceur de sorts) lorsqu’il s’agit de franchir la résistance à la magie d’une cible.

Version mythique ¶ Le pouvoir mythique du personnage perce les défenses de ses ennemis.

Le personnage ajoute la moitié de son grade aux tests de niveau de lanceur de sorts effectués pour ignorer la résistance à la magie. S’il possède Efficacité des sorts accrue supérieure , il ajoute à la place son grade complet."
Efficacité des sorts accrue supérieure,MJ,Efficacité des sorts accrue,Le personnage obtient un bonus supplémentaire de +2 sur les tests de niveau de lanceur de sorts (1d20 + niveau de lanceur de sorts) effectués pour franchir la résistance à la magie d’une créature. Ce bonus se cumule avec celui d’ Efficacité des sorts accrue .
Efficacité du tueur,AG,"Capacité de classe ennemi juré, BBA +6",Double la zone de critique de toutes les armes contre un type d'ennemi juré
Effroyable coup de grâce*,D&M,"Force intimidante, suivant de Lamashtu","En amenant un adversaire à 0 point de vie ou en-dessous, il bénéficie pour le reste du combat d’un bonus de +4 aux tests d’ Intimidation effectué afin de démoraliser les ennemis qui sont en mesure de le voir lui et l'adversaire qu'il a neutralisé."
Eidolon concentré,AM,Capacité de classe protection d'allié,"Quand le personnage est adjacent à son eidolon , il reçoit un bonus de +4 aux tests de Concentration ."
Eidolon protecteur,AM,Capacité de classe protection d'allié,L'eidolon sacrifie son attaque pour défendre le personnage
Eidolon résilient,AM,Capacité de classe eidolon,"Quand le personnage est inconscient, endormi ou mort, son eidolon reste un peu avec lui"
Eidolon vigilant,AM,Capacité de classe eidolon,"Bonus de +4 aux tests de Perception quand l'eidolon est à portée, conscient, et pas sans défense"
Élément renforcé,MJRA,—,"Choisissez un type d’énergie (acide, électricité, feu, froid). Le personnage ajoute +1 au DD de tous les jets de sauvegarde contre les sorts infligeant des dégâts du type d’énergie choisi.

Le personnage choisit un type d’énergie destructive pour lequel il possède Élément renforcé. L’augmentation du DD des jets de sauvegarde conférée par Élément renforcé et Élément supérieur pour les sorts du type d’énergie destructive sélectionné est majorée de 1. Lorsque le personnage lance un sort doté du registre correspondant au type d’énergie destructive choisi, il peut dépenser une utilisation de pouvoir mythique pour obliger les cibles du sort à lancer deux jets de sauvegarde et à conserver le pire."
Élément supérieur,MJRA,Élément renforcé,Le DD de tous les jets de sauvegarde contre les sorts qui infligent des dégâts du type choisi et qui sont lancés par le personnage augmente de +1. Ce bonus se cumule avec celui offert par le don Élément renforcé .
Éliminer les toxines,MR,"Nain, trait racial robuste",Guérit des affaiblissements temporaires plus vite
Embuscade effrayante*,DTT,1 rang en Intimidation,Utilise l'Intimidation librement pour démoraliser les créatures prises au dépourvu
Embuscade terrifiante*,DTT,"Embuscade effrayante, 5 rangs en Intimidation",La démoralisation peut effrayer les cibles plutôt que les secouer
Embusqueur kobold*,MR,"4 rangs en Discrétion, kobold","Déplacements discrets à vitesse normale sans malus, course et charge discrète avec moins de pénalité"
Émissaire de guilde,HoS,Prestige ou Contacts avec la pègre (voir texte),Fait appel à des contacts locaux pour rassembler des informations
Empathe,AO,"Sensibilité psychique ou capacité à lancer des sorts psychiques, 1 rang en Perception ou 1 rang en Psychologie",Lecture rapide et fréquente des émotions mais rend l'esprit vulnérable
Empathie rapide,AM,"5 rangs en Dressage, capacité de classe empathie sauvage",L'utilisation de l'empathie sauvage est une action simple
Empathie sauvage supérieure,AM,"5 rangs en Connaissances (nature), capacité de classe empathie sauvage",Utilise l'empathie sauvage pour intimider une créature et augmente l'éventail de cibles potentielles
Empoisonnement puissant,DTT,Attaque en puissance; 3 rangs en Artisanat (poison) ou capacité de classe utilisation du poison,Ignore le bonus aux dégâts d'Attaque en puissance pour augmenter le DD d'un poison
Empoisonneur précis*,AG,"Capacité de classe utilisation des poisons, 6 rangs en Artisanat (alchimie), Frappe de la vipère, Science du combat à mains nues, Combat à deux armes ou capacité de classe déluge de coups","Quand le personnage utilise Frappe de la vipère, il peut empoisonner deux fléchettes qu'il utilise au corps à corps"
Enchaînement*,MJ,"For 13, Attaque en puissance, bonus de base à l’attaque +1",1 attaque supplémentaire si la première touche
